COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,DISEASE,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY
48291,Texas,Cardiology,Heart Disease,57564,2,479,3357.0,28782.0,10823.136363636364,15071.056217261126,2.659303092281266,CRITICAL GAP,14.48,48291|Cardiology
48291,Texas,Endocrinology,Diabetes,40611,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,48291|Endocrinology
48291,Texas,Oncology,Cancer,4558,0,0,0.0,0.0,2055.6666666666665,2642.926682217817,0.0,NO PROVIDER,100.0,48291|Oncology
48291,Texas,Neurology,Neurological Disorders,2825,0,0,0.0,0.0,637.0,906.5174241117586,0.0,NO PROVIDER,100.0,48291|Neurology
48291,Texas,Psychiatry,Mental Health Disorders,17782,1,0,0.0,17782.0,3104.5,4291.15957060345,5.72781446287647,CRITICAL GAP,31.19,48291|Psychiatry
48291,Texas,Pulmonary,Respiratory Disease,13939,0,0,0.0,0.0,4251.578947368421,5741.879971570142,0.0,NO PROVIDER,100.0,48291|Pulmonary
48291,Texas,Rheumatology,Arthritis,17782,0,0,0.0,0.0,10453.0,13315.598760659872,0.0,NO PROVIDER,100.0,48291|Rheumatology
48293,Texas,Cardiology,Heart Disease,14162,0,0,0.0,0.0,10823.136363636364,15071.056217261126,0.0,NO PROVIDER,100.0,48293|Cardiology
48293,Texas,Endocrinology,Diabetes,9378,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,48293|Endocrinology
48293,Texas,Oncology,Cancer,1267,0,0,0.0,0.0,2055.6666666666665,2642.926682217817,0.0,NO PROVIDER,100.0,48293|Oncology
48293,Texas,Neurology,Neurological Disorders,724,0,0,0.0,0.0,637.0,906.5174241117586,0.0,NO PROVIDER,100.0,48293|Neurology
48293,Texas,Psychiatry,Mental Health Disorders,4017,4,118,250.0,1004.25,3104.5,4291.15957060345,0.3234820421968111,LOW GAP,1.76,48293|Psychiatry
