COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,DISEASE,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
48061,TX,Rheumatology,Arthritis,2,256,5031.5
48063,TX,Internal Medicine,General Medicine Conditions,1,263,307.0
48067,TX,Internal Medicine,General Medicine Conditions,4,1470,2690.0
48067,TX,Psychiatry,Mental Health Disorders,1,18,112.0
48071,TX,Cardiology,Heart Disease,1,475,9341.0
48071,TX,Internal Medicine,General Medicine Conditions,1,0,0.0
48073,TX,Oncology,Cancer,1,1058,209861.0
48073,TX,Internal Medicine,General Medicine Conditions,3,407,2710.0
48073,TX,Psychiatry,Mental Health Disorders,10,133,436.0
48085,TX,Cardiology,Heart Disease,68,59591,286900.0
48085,TX,Endocrinology,Diabetes,18,5615,70215.0
48085,TX,Oncology,Cancer,23,10730,2219530.0
48085,TX,Internal Medicine,General Medicine Conditions,393,97602,711787.5
48085,TX,Neurology,Neurological Disorders,63,20645,584116.0
48085,TX,Psychiatry,Mental Health Disorders,109,4346,32323.0
48085,TX,Pulmonary,Respiratory Disease,21,10224,98853.0
48085,TX,Rheumatology,Arthritis,17,2549,429413.0
48087,TX,Internal Medicine,General Medicine Conditions,1,43,193.0
48089,TX,Cardiology,Heart Disease,1,1239,3431.0
48089,TX,Internal Medicine,General Medicine Conditions,2,196,1763.0
48089,TX,Pulmonary,Respiratory Disease,1,0,0.0
48091,TX,Endocrinology,Diabetes,1,336,1107.0
48091,TX,Internal Medicine,General Medicine Conditions,10,6323,37622.0
48091,TX,Neurology,Neurological Disorders,1,645,3750.0
48091,TX,Psychiatry,Mental Health Disorders,5,0,0.0
48093,TX,Internal Medicine,General Medicine Conditions,3,246,392.0
48097,TX,Cardiology,Heart Disease,2,1848,7078.0
48097,TX,Internal Medicine,General Medicine Conditions,4,639,4070.0
48097,TX,Psychiatry,Mental Health Disorders,1,0,0.0
48099,TX,Internal Medicine,General Medicine Conditions,1,0,0.0
