COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,DISEASE,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
37089,NC,Psychiatry,Mental Health Disorders,4,419,2619.0
37089,NC,Pulmonary,Respiratory Disease,8,2776,6730.0
37089,NC,Rheumatology,Arthritis,6,1606,137683.0
37091,NC,Oncology,Cancer,1,801,153165.0
37091,NC,Internal Medicine,General Medicine Conditions,9,4128,55235.0
37091,NC,Psychiatry,Mental Health Disorders,1,199,1147.0
37091,NC,Rheumatology,Arthritis,1,12,105.0
37093,NC,Internal Medicine,General Medicine Conditions,8,1133,4206.0
37093,NC,Psychiatry,Mental Health Disorders,2,66,75.0
37097,NC,Cardiology,Heart Disease,12,10138,41197.0
37097,NC,Endocrinology,Diabetes,3,1151,17689.0
37097,NC,Oncology,Cancer,6,1180,265019.0
37097,NC,Internal Medicine,General Medicine Conditions,32,7638,116205.0
37097,NC,Neurology,Neurological Disorders,6,2251,165381.0
37097,NC,Psychiatry,Mental Health Disorders,6,411,3037.0
37097,NC,Pulmonary,Respiratory Disease,4,2493,31985.0
37097,NC,Rheumatology,Arthritis,3,1740,508864.0
37099,NC,Cardiology,Heart Disease,3,2190,4115.0
37099,NC,Endocrinology,Diabetes,1,140,459.0
37099,NC,Internal Medicine,General Medicine Conditions,11,3183,22372.0
37099,NC,Pulmonary,Respiratory Disease,1,316,640.0
37101,NC,Cardiology,Heart Disease,8,9613,42353.0
37101,NC,Endocrinology,Diabetes,1,123,1065.0
37101,NC,Oncology,Cancer,2,425,882.0
37101,NC,Internal Medicine,General Medicine Conditions,19,4990,94683.0
37101,NC,Neurology,Neurological Disorders,1,462,993.0
37101,NC,Psychiatry,Mental Health Disorders,6,531,2334.0
37101,NC,Pulmonary,Respiratory Disease,1,534,2756.0
37101,NC,Rheumatology,Arthritis,2,270,2152.0
37103,NC,Cardiology,Heart Disease,4,2400,6467.0
37103,NC,Endocrinology,Diabetes,2,469,7118.0
37103,NC,Oncology,Cancer,3,1723,6244.0
37103,NC,Internal Medicine,General Medicine Conditions,11,4587,142037.0
37103,NC,Neurology,Neurological Disorders,2,982,10123.0
37103,NC,Psychiatry,Mental Health Disorders,1,0,0.0
37103,NC,Pulmonary,Respiratory Disease,2,1433,98042.0
37103,NC,Rheumatology,Arthritis,3,1478,281081.0
37105,NC,Cardiology,Heart Disease,5,2264,19522.0
37105,NC,Endocrinology,Diabetes,1,1102,43101.0
37105,NC,Oncology,Cancer,1,115,12081.0
37105,NC,Internal Medicine,General Medicine Conditions,10,1619,11775.0
37105,NC,Neurology,Neurological Disorders,1,382,1031.0
37105,NC,Psychiatry,Mental Health Disorders,1,25,240.0
37105,NC,Pulmonary,Respiratory Disease,1,49,274.0
37107,NC,Cardiology,Heart Disease,5,5002,25071.0
37107,NC,Endocrinology,Diabetes,1,318,13057.0
37107,NC,Oncology,Cancer,1,396,21850.0
37107,NC,Internal Medicine,General Medicine Conditions,25,6938,147051.0
37107,NC,Neurology,Neurological Disorders,1,312,476.0
37107,NC,Psychiatry,Mental Health Disorders,3,55,374.0
37107,NC,Pulmonary,Respiratory Disease,2,642,2076.0
37109,NC,Cardiology,Heart Disease,3,3522,12268.0
37109,NC,Oncology,Cancer,4,806,35172.0
37109,NC,Internal Medicine,General Medicine Conditions,7,2473,15496.0
37109,NC,Psychiatry,Mental Health Disorders,2,116,440.0
37109,NC,Pulmonary,Respiratory Disease,1,215,981.0
37111,NC,Cardiology,Heart Disease,2,3484,6363.0
37111,NC,Internal Medicine,General Medicine Conditions,14,4375,54515.0
37111,NC,Neurology,Neurological Disorders,2,1025,8492.0
37111,NC,Rheumatology,Arthritis,1,468,131776.0
37113,NC,Internal Medicine,General Medicine Conditions,21,3333,11273.0
37115,NC,Internal Medicine,General Medicine Conditions,3,553,6409.0
37117,NC,Psychiatry,Mental Health Disorders,1,112,494.0
37119,NC,Cardiology,Heart Disease,84,57789,248063.0
37119,NC,Endocrinology,Diabetes,29,7359,48349.0
37119,NC,Oncology,Cancer,74,11739,773620.0
37119,NC,Internal Medicine,General Medicine Conditions,327,66417,548136.0
37119,NC,Neurology,Neurological Disorders,90,17888,202295.0
37119,NC,Psychiatry,Mental Health Disorders,120,4981,17985.0
37119,NC,Pulmonary,Respiratory Disease,64,16564,53229.0
37119,NC,Rheumatology,Arthritis,29,10772,1631956.0
37121,NC,Cardiology,Heart Disease,1,858,1728.0
37123,NC,Cardiology,Heart Disease,1,0,0.0
37123,NC,Internal Medicine,General Medicine Conditions,2,419,1036.0
37125,NC,Cardiology,Heart Disease,4,2647,8341.0
37125,NC,Endocrinology,Diabetes,2,854,20807.0
37125,NC,Oncology,Cancer,5,1277,4715.0
37125,NC,Internal Medicine,General Medicine Conditions,42,20256,331162.0
37125,NC,Neurology,Neurological Disorders,12,4140,79926.0
37125,NC,Psychiatry,Mental Health Disorders,14,781,3044.0
37125,NC,Pulmonary,Respiratory Disease,5,2866,22158.0
37125,NC,Rheumatology,Arthritis,2,587,244785.0
37127,NC,Cardiology,Heart Disease,1,197,1712.0
37127,NC,Endocrinology,Diabetes,2,1243,22144.0
37127,NC,Oncology,Cancer,3,673,1958.0
37127,NC,Internal Medicine,General Medicine Conditions,30,7673,37789.0
37127,NC,Psychiatry,Mental Health Disorders,3,38,86.0
37127,NC,Pulmonary,Respiratory Disease,1,700,3365.0
37129,NC,Cardiology,Heart Disease,34,46322,128746.0
37129,NC,Endocrinology,Diabetes,6,2783,54356.0
37129,NC,Oncology,Cancer,6,2280,62232.0
37129,NC,Internal Medicine,General Medicine Conditions,79,28239,438096.0
37129,NC,Neurology,Neurological Disorders,20,6924,123742.0
37129,NC,Psychiatry,Mental Health Disorders,25,1730,11413.0
37129,NC,Pulmonary,Respiratory Disease,14,7804,28572.0
37129,NC,Rheumatology,Arthritis,8,3947,970142.0
37131,NC,Internal Medicine,General Medicine Conditions,1,111,286.0
37131,NC,Psychiatry,Mental Health Disorders,1,0,0.0
37133,NC,Cardiology,Heart Disease,5,5692,15586.0
37133,NC,Endocrinology,Diabetes,3,1905,54214.0
37133,NC,Oncology,Cancer,3,2408,732293.0
37133,NC,Internal Medicine,General Medicine Conditions,35,9628,126309.0
37133,NC,Neurology,Neurological Disorders,1,52,244.0
37133,NC,Psychiatry,Mental Health Disorders,6,361,1120.0
37133,NC,Pulmonary,Respiratory Disease,2,723,2700.0
37135,NC,Cardiology,Heart Disease,30,19093,38207.0
37135,NC,Endocrinology,Diabetes,21,2627,6855.0
37135,NC,Oncology,Cancer,30,2851,11019.0
37135,NC,Internal Medicine,General Medicine Conditions,90,11875,60097.0
37135,NC,Neurology,Neurological Disorders,58,6428,44887.0
37135,NC,Psychiatry,Mental Health Disorders,111,3016,13778.0
37135,NC,Pulmonary,Respiratory Disease,36,4918,13956.0
37135,NC,Rheumatology,Arthritis,15,1468,5363.0
37137,NC,Internal Medicine,General Medicine Conditions,1,316,5087.0
37139,NC,Cardiology,Heart Disease,4,8007,29439.0
37139,NC,Endocrinology,Diabetes,1,432,851.0
37139,NC,Oncology,Cancer,6,5496,832326.0
37139,NC,Internal Medicine,General Medicine Conditions,44,12591,47585.0
37139,NC,Neurology,Neurological Disorders,10,2860,4485.0
37139,NC,Pulmonary,Respiratory Disease,3,2353,6076.0
37141,NC,Internal Medicine,General Medicine Conditions,4,912,10691.0
37145,NC,Cardiology,Heart Disease,1,27,36.0
37145,NC,Internal Medicine,General Medicine Conditions,5,1225,12012.5
37145,NC,Psychiatry,Mental Health Disorders,1,0,0.0
37147,NC,Cardiology,Heart Disease,19,24130,141150.0
37147,NC,Endocrinology,Diabetes,8,4324,143003.0
