COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
01077,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),12,7470,46332.0
01077,AL,ENDOCRINOLOGY,2,1249,13395.0
01077,AL,HEMATOLOGY/ONCOLOGY,2,2000,462628.0
01077,AL,INTERNAL MEDICINE,38,9050,57907.0
01077,AL,NEUROLOGY,1,0,0.0
01077,AL,PSYCHIATRY,2,273,843.0
01077,AL,PULMONARY DISEASE,4,2647,10391.0
01081,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),4,1927,7724.0
01081,AL,ENDOCRINOLOGY,1,0,0.0
01081,AL,HEMATOLOGY/ONCOLOGY,3,967,53429.0
01081,AL,INTERNAL MEDICINE,51,10680,62002.0
01081,AL,NEUROLOGY,5,1082,1950.0
01081,AL,PSYCHIATRY,11,427,6157.0
01081,AL,PULMONARY DISEASE,3,1178,3924.0
01081,AL,RHEUMATOLOGY,7,1689,429559.0
01083,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),3,2332,8752.0
01083,AL,INTERNAL MEDICINE,10,2827,25969.0
01083,AL,PSYCHIATRY,2,167,990.0
01083,AL,PULMONARY DISEASE,1,107,260.0
01087,AL,INTERNAL MEDICINE,1,54,138.0
01089,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),27,28826,104203.0
01089,AL,ENDOCRINOLOGY,5,3049,9271.0
01089,AL,HEMATOLOGY/ONCOLOGY,19,15689,3341084.0
01089,AL,INTERNAL MEDICINE,103,27041,179091.0
01089,AL,NEUROLOGY,24,12778,279653.0
01089,AL,PSYCHIATRY,24,2017,12911.0
01089,AL,PULMONARY DISEASE,11,8045,64281.0
01089,AL,RHEUMATOLOGY,4,2262,202199.0
01091,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),2,2168,7287.0
01091,AL,HEMATOLOGY/ONCOLOGY,1,276,97514.0
01091,AL,INTERNAL MEDICINE,1,179,655.0
01091,AL,PSYCHIATRY,2,79,548.0
01093,AL,INTERNAL MEDICINE,3,729,2243.0
01095,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),2,1170,6028.0
01095,AL,INTERNAL MEDICINE,9,1553,7563.0
01095,AL,NEUROLOGY,3,802,3773.0
01095,AL,PSYCHIATRY,3,236,1174.0
01095,AL,PULMONARY DISEASE,3,795,2332.0
01097,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),25,16137,124229.0
01097,AL,ENDOCRINOLOGY,8,2103,21464.0
01097,AL,HEMATOLOGY/ONCOLOGY,11,3334,301761.0
01097,AL,INTERNAL MEDICINE,173,31164,347486.0
01097,AL,NEUROLOGY,36,9243,118144.0
01097,AL,PSYCHIATRY,37,837,6414.0
01097,AL,PULMONARY DISEASE,28,7964,50121.0
01097,AL,RHEUMATOLOGY,10,2605,410975.0
01099,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,576,3067.0
01099,AL,HEMATOLOGY/ONCOLOGY,1,0,0.0
01099,AL,INTERNAL MEDICINE,3,1566,23626.0
01101,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),10,6611,22667.0
01101,AL,ENDOCRINOLOGY,5,1118,4379.0
01101,AL,HEMATOLOGY/ONCOLOGY,8,2057,4043.0
01101,AL,INTERNAL MEDICINE,68,18635,130760.0
01101,AL,NEUROLOGY,10,2906,81180.0
01101,AL,PSYCHIATRY,20,983,4893.0
01101,AL,PULMONARY DISEASE,4,2170,6653.0
01101,AL,RHEUMATOLOGY,9,1468,34321.0
01103,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,3689,11439.0
01103,AL,ENDOCRINOLOGY,1,22,36.0
01103,AL,HEMATOLOGY/ONCOLOGY,2,1680,385572.0
01103,AL,INTERNAL MEDICINE,25,7977,32703.0
01103,AL,NEUROLOGY,1,394,7438.3
01103,AL,PSYCHIATRY,5,423,2579.0
01103,AL,PULMONARY DISEASE,1,555,2261.0
01105,AL,RHEUMATOLOGY,1,0,0.0
01109,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,608,1919.0
01109,AL,HEMATOLOGY/ONCOLOGY,1,346,778.0
01109,AL,INTERNAL MEDICINE,4,611,1309.0
01111,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),2,2201,8979.0
01111,AL,HEMATOLOGY/ONCOLOGY,1,494,1451.0
01111,AL,INTERNAL MEDICINE,2,516,710.0
01113,AL,INTERNAL MEDICINE,4,848,7392.0
01113,AL,PSYCHIATRY,1,29,151.0
01115,AL,INTERNAL MEDICINE,14,2708,40222.0
01115,AL,RHEUMATOLOGY,1,106,1833.0
01117,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,2543,11838.0
01117,AL,ENDOCRINOLOGY,3,874,4195.0
01117,AL,HEMATOLOGY/ONCOLOGY,1,276,589.0
01117,AL,INTERNAL MEDICINE,48,10113,110979.0
01117,AL,NEUROLOGY,4,1292,95180.0
01117,AL,PSYCHIATRY,24,3726,27655.0
01117,AL,PULMONARY DISEASE,2,1181,4795.0
01117,AL,RHEUMATOLOGY,5,1408,404354.0
01119,AL,INTERNAL MEDICINE,1,94,2511.0
01121,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),2,1832,4504.0
01121,AL,HEMATOLOGY/ONCOLOGY,4,1427,201831.0
01121,AL,INTERNAL MEDICINE,11,3504,19958.0
01121,AL,NEUROLOGY,1,389,5675.0
01121,AL,PSYCHIATRY,1,31,115.0
01121,AL,PULMONARY DISEASE,1,0,0.0
01123,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,627,6600.0
01123,AL,HEMATOLOGY/ONCOLOGY,1,219,739.0
01123,AL,INTERNAL MEDICINE,7,1317,9263.0
01123,AL,PULMONARY DISEASE,2,795,1338.0
01125,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),6,9150,38124.0
01125,AL,ENDOCRINOLOGY,1,372,1147.0
01125,AL,HEMATOLOGY/ONCOLOGY,4,849,182384.0
01125,AL,INTERNAL MEDICINE,58,13788,175578.0
