ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,REQUIRED_SPECIALTY_Cardiology,REQUIRED_SPECIALTY_Endocrinology,REQUIRED_SPECIALTY_Neurology,REQUIRED_SPECIALTY_Oncology,REQUIRED_SPECIALTY_Psychiatry,REQUIRED_SPECIALTY_Pulmonary,REQUIRED_SPECIALTY_Rheumatology
-0.2797785246917863,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.8640164649312321,-0.8936943502411376,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2706102169671887,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.8640164649312321,-0.8936943502411376,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2791854905569482,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.48757633997091815,-0.4792517157889571,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.10228340813473105,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,0.6389704336430185,0.7683980612559066,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.20434458274037492,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,0.5755188193849565,0.5336296265452943,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.2153868783310611,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.6842174107830546,-0.6732657355858858,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.252143134008329,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.48757633997091815,-0.4792517157889571,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.9084818508128596,2.2859134936944905,4.34000960592605,0.02363621105526656,0.169357815205046,0.6389704336430185,0.7683980612559066,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.20761813116468147,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.48757633997091815,-0.4792517157889571,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.1382568587540126,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,1.881283378844675,1.8272838018489053,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.27543751482477113,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,0.5755188193849565,0.5336296265452943,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2043033788938905,0.014073321242579479,0.42958880295913526,-0.12239865654455839,0.7391674525167697,0.6389704336430185,0.7683980612559066,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.023362425470471397,-0.12361396193632423,0.1283691739039114,0.07084466718337482,0.8112651529980217,0.5755188193849565,0.5336296265452943,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.2409229281771914,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,0.5755188193849565,0.5336296265452943,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.2818422834810231,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-1.1072151855588004,-1.1259153488245126,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9804664545700481,0.08291696283203133,0.43774036508562975,0.6603023511635313,1.9319790485897284,1.881283378844675,1.8272838018489053,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.24826469076648758,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-0.8640164649312321,-0.8936943502411376,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.15443482995239707,-0.12361396193632423,-0.11307233289035312,-0.153801441498188,0.2140000195510086,-0.48757633997091815,-0.4792517157889571,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.18867662089795129,0.1517606044214832,-0.17032735258834994,-0.15164138276086528,-0.22757587662489512,-0.6842174107830546,-0.6732657355858858,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.26979182986111205,-0.26130124511522795,-0.2225361671604216,-0.16284389428132517,-0.37034805961188205,-1.1072151855588004,-1.1259153488245126,0.0,0.0,1.0,0.0,0.0,0.0,0.0
