COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
5119,Arkansas,RHEUMATOLOGY,78386,15,4085,1102607.0,5225.733333333334,10453.0,13315.598760659872,0.4999266558244842,LOW GAP,2.72,05119|RHEUMATOLOGY,0.1913607021662031,269.849975526187,True,-1,-0.0020370943914884,shortage_anomaly
5143,Arkansas,RHEUMATOLOGY,44921,1,588,84887.0,44921.0,10453.0,13315.598760659872,4.297426576102554,CRITICAL GAP,23.4,05143|RHEUMATOLOGY,0.0222613031766879,144.12054329371816,True,-1,-0.0526606223906823,shortage_anomaly
6019,California,RHEUMATOLOGY,158482,9,4015,1090790.0,17609.11111111111,10453.0,13315.598760659872,1.6845987861007472,HIGH GAP,9.17,06019|RHEUMATOLOGY,0.0567887835842556,271.61105577689244,True,-1,-0.024883745743913,shortage_anomaly
6029,California,RHEUMATOLOGY,138995,4,1631,223177.4,34748.75,10453.0,13315.598760659872,3.324284894288721,CRITICAL GAP,18.1,06029|RHEUMATOLOGY,0.0287780135976114,136.75085784313725,True,-1,-0.0420684685722567,shortage_anomaly
6031,California,ENDOCRINOLOGY,52957,1,1044,13104.0,52957.0,18070.0,22988.768286620067,2.9306585500830105,CRITICAL GAP,15.96,06031|ENDOCRINOLOGY,0.018883244896803,12.539712918660287,True,-1,-0.0048865113587462,shortage_anomaly
6039,California,RHEUMATOLOGY,27298,1,243,40188.0,27298.0,10453.0,13315.598760659872,2.611499091169999,CRITICAL GAP,14.22,06039|RHEUMATOLOGY,0.0366327203458128,164.70491803278688,True,-1,-0.0230960396552409,shortage_anomaly
6045,California,RHEUMATOLOGY,18138,1,177,44068.0,18138.0,10453.0,13315.598760659872,1.7351956376159954,HIGH GAP,9.45,06045|RHEUMATOLOGY,0.0551328702172235,247.5730337078652,True,-1,-0.0200272230132588,shortage_anomaly
6047,California,ENDOCRINOLOGY,98657,1,413,3072.0,98657.0,18070.0,22988.768286620067,5.459712230215827,CRITICAL GAP,29.73,06047|ENDOCRINOLOGY,0.0101361282017494,7.420289855072464,True,-1,-0.0014798767223926,shortage_anomaly
6071,California,RHEUMATOLOGY,350525,19,4404,1122686.0,18448.68421052632,10453.0,13315.598760659872,1.7649176514422955,HIGH GAP,9.61,06071|RHEUMATOLOGY,0.0542044076742029,254.86628830874008,True,-1,-0.0229641170584666,shortage_anomaly
6095,California,ENDOCRINOLOGY,149644,4,2365,70733.0,37411.0,18070.0,22988.768286620067,2.070337576092972,CRITICAL GAP,11.27,06095|ENDOCRINOLOGY,0.0267301061185212,29.895604395604398,True,-1,-0.009767028157539,shortage_anomaly
