COUNTY_FIPS,PRIMARY SPECIALTY,avg_distance_to_provider,min_distance_to_provider,provider_count_in_county
01089,RHEUMATOLOGY,2.337689874916767,2.1487928294231926,4
01091,PSYCHIATRY,0.0,0.0,2
01095,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.4235586184871725,3.9677289939357676,2
01095,NEUROLOGY,8.109043912897237,3.951081735845166,3
01095,PSYCHIATRY,3.951081735845166,3.951081735845166,3
01095,PULMONARY DISEASE,7.2366194073074395,3.951081735845166,3
01097,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.667340498441028,2.920739812354357,25
01097,ENDOCRINOLOGY,6.021592021029565,3.99107552382321,8
01097,HEMATOLOGY/ONCOLOGY,5.047771326668397,3.99107552382321,11
01097,NEUROLOGY,5.009817590215021,0.1593628486039747,36
01097,PSYCHIATRY,3.4011622806064463,0.1593628486039747,37
01097,RHEUMATOLOGY,6.6479583023654145,3.99107552382321,10
01099,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
01101,CARDIOVASCULAR DISEASE (CARDIOLOGY),4.8980270105171995,1.769774126771591,10
01101,ENDOCRINOLOGY,4.656446610815637,1.769774126771591,5
01101,HEMATOLOGY/ONCOLOGY,2.8527884879703875,1.769774126771591,8
01101,NEUROLOGY,4.538881670271779,1.769774126771591,10
01101,PSYCHIATRY,5.185949913500657,2.229968928614667,20
01101,PULMONARY DISEASE,1.6798648255507875,1.6798648255507875,4
01103,CARDIOVASCULAR DISEASE (CARDIOLOGY),5.565928921731824,5.565928921731824,5
01103,ENDOCRINOLOGY,5.565928921731824,5.565928921731824,1
01103,HEMATOLOGY/ONCOLOGY,5.565928921731824,5.565928921731824,2
01103,NEUROLOGY,5.565928921731824,5.565928921731824,1
01103,PSYCHIATRY,5.6461523740934005,3.419697142169239,5
01103,PULMONARY DISEASE,5.565928921731824,5.565928921731824,1
01109,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
01109,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
01111,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.525781195686189,6.52493843772438,2
01111,HEMATOLOGY/ONCOLOGY,6.52493843772438,6.52493843772438,1
01113,PSYCHIATRY,0.0,0.0,1
01115,RHEUMATOLOGY,0.0,0.0,1
01117,CARDIOVASCULAR DISEASE (CARDIOLOGY),7.355235674475547,3.57821006889837,5
01117,ENDOCRINOLOGY,8.511030372865307,6.992802024174095,3
01117,HEMATOLOGY/ONCOLOGY,9.270144547210913,9.270144547210913,1
01117,NEUROLOGY,6.812816368575797,3.57821006889837,4
01117,PSYCHIATRY,6.966567016372505,3.57821006889837,24
01117,PULMONARY DISEASE,9.270144547210913,9.270144547210913,2
01117,RHEUMATOLOGY,7.903739033388822,6.992802024174095,5
01121,CARDIOVASCULAR DISEASE (CARDIOLOGY),10.23827342469728,10.23827342469728,2
01121,NEUROLOGY,10.23827342469728,10.23827342469728,1
01121,PSYCHIATRY,10.234764866982461,10.234764866982461,1
01121,PULMONARY DISEASE,10.23827342469728,10.23827342469728,1
01123,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
01123,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
01123,PULMONARY DISEASE,0.0,0.0,2
01125,CARDIOVASCULAR DISEASE (CARDIOLOGY),3.273202054561848,1.010089440085862,6
01125,ENDOCRINOLOGY,3.5860225651017954,3.5860225651017954,1
01125,HEMATOLOGY/ONCOLOGY,2.063440619688868,1.010089440085862,4
01125,NEUROLOGY,3.116791799291874,1.010089440085862,10
01125,PSYCHIATRY,4.883214428054178,4.338766859344244,13
01125,PULMONARY DISEASE,4.5212600387625494,1.010089440085862,6
01125,RHEUMATOLOGY,3.5860225651017954,3.5860225651017954,2
01127,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
01127,HEMATOLOGY/ONCOLOGY,0.0,0.0,2
01127,PSYCHIATRY,0.0,0.0,2
02020,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.4821088905808315,4.432097221203464,6
02020,ENDOCRINOLOGY,8.5321205599582,4.432097221203464,3
02020,HEMATOLOGY/ONCOLOGY,6.892111224456305,4.432097221203464,10
02020,NEUROLOGY,9.765219897154013,1.0406009034396901,17
02020,PULMONARY DISEASE,4.432097221203464,4.432097221203464,7
02020,RHEUMATOLOGY,12.632143898712933,4.432097221203464,3
02050,NEUROLOGY,0.0,0.0,1
02050,PULMONARY DISEASE,0.0,0.0,1
02110,PULMONARY DISEASE,0.0,0.0,1
02122,HEMATOLOGY/ONCOLOGY,33.07023984828274,33.07023984828274,1
02122,NEUROLOGY,33.07023984828274,33.07023984828274,5
02122,PSYCHIATRY,33.07730517310671,33.07023984828274,5
02122,PULMONARY DISEASE,33.07023984828274,33.07023984828274,1
02170,CARDIOVASCULAR DISEASE (CARDIOLOGY),10.293676360375368,10.293676360375368,3
02170,ENDOCRINOLOGY,10.308413247734068,10.308413247734068,1
02170,HEMATOLOGY/ONCOLOGY,10.293676360375368,10.293676360375368,1
02170,NEUROLOGY,10.308413247734068,10.308413247734068,2
02170,PSYCHIATRY,10.29788689962071,10.293676360375368,7
04001,CARDIOVASCULAR DISEASE (CARDIOLOGY),76.17853058204284,76.17853058204284,1
04001,PSYCHIATRY,58.11390565796987,39.5132488119461,6
04001,PULMONARY DISEASE,76.17853058204284,76.17853058204284,1
04003,CARDIOVASCULAR DISEASE (CARDIOLOGY),15.508132398146055,9.32726769527667,7
04003,HEMATOLOGY/ONCOLOGY,9.32726769527667,9.32726769527667,3
04003,NEUROLOGY,9.32726769527667,9.32726769527667,2
04003,PSYCHIATRY,9.32726769527667,9.32726769527667,2
04003,PULMONARY DISEASE,12.902806806914475,9.32726769527667,2
04003,RHEUMATOLOGY,42.64299947878124,42.64299947878124,1
04005,CARDIOVASCULAR DISEASE (CARDIOLOGY),21.435167103476477,21.435167103476477,6
04005,ENDOCRINOLOGY,21.435167103476477,21.435167103476477,1
04005,HEMATOLOGY/ONCOLOGY,21.435167103476477,21.435167103476477,4
04005,NEUROLOGY,21.333470872274535,20.621597253860934,8
04005,PSYCHIATRY,24.385799064615856,13.562178538887013,16
04005,PULMONARY DISEASE,21.435167103476477,21.435167103476477,3
04007,HEMATOLOGY/ONCOLOGY,36.93591730730201,36.93591730730201,2
04007,NEUROLOGY,36.93591730730201,36.93591730730201,1
04007,PSYCHIATRY,22.551681322944294,17.48124638532036,3
04009,ENDOCRINOLOGY,32.87563710851759,32.87563710851759,1
04009,HEMATOLOGY/ONCOLOGY,32.87563710851759,32.87563710851759,1
04009,NEUROLOGY,32.87563710851759,32.87563710851759,3
04009,PSYCHIATRY,32.90964745941144,32.87563710851759,2
04009,PULMONARY DISEASE,32.87563710851759,32.87563710851759,1
04012,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
04012,PSYCHIATRY,0.0,0.0,1
04013,CARDIOVASCULAR DISEASE (CARDIOLOGY),11.25722285065421,0.32505440591913265,266
04013,ENDOCRINOLOGY,10.264729306582701,0.32505440591913265,82
04013,HEMATOLOGY/ONCOLOGY,12.311117785755052,0.32505440591913265,168
04013,NEUROLOGY,9.853572766093471,0.32505440591913265,274
04013,PSYCHIATRY,9.474374998570726,0.32505440591913265,296
04013,PULMONARY DISEASE,10.935244604882815,0.32505440591913265,143
04013,RHEUMATOLOGY,11.678408439927079,0.32505440591913265,47
04015,CARDIOVASCULAR DISEASE (CARDIOLOGY),26.623557519168784,17.99556704830352,17
04015,ENDOCRINOLOGY,27.766421357313302,27.766421357313302,1
04015,HEMATOLOGY/ONCOLOGY,31.003797289396346,17.99556704830352,5
04015,NEUROLOGY,26.187103795819727,17.99556704830352,6
04015,PSYCHIATRY,27.03646577778277,17.99556704830352,5
04015,PULMONARY DISEASE,31.220005420348787,17.99556704830352,3
04015,RHEUMATOLOGY,27.86473767066275,17.99556704830352,3
04017,CARDIOVASCULAR DISEASE (CARDIOLOGY),56.3038795314199,56.3038795314199,2
04017,HEMATOLOGY/ONCOLOGY,12.198138297618366,12.198138297618366,3
04017,NEUROLOGY,23.22457360606875,12.198138297618366,4
04017,PSYCHIATRY,42.69881337103368,18.78802065656062,5
04019,CARDIOVASCULAR DISEASE (CARDIOLOGY),10.00482663400966,3.6548088188049648,58
04019,ENDOCRINOLOGY,6.072237026481987,3.6548088188049648,19
04019,HEMATOLOGY/ONCOLOGY,7.058886090646482,3.6548088188049648,36
04019,NEUROLOGY,7.4749027778124075,3.6548088188049648,60
04019,PSYCHIATRY,7.890078651568046,2.202211910830275,88
04019,PULMONARY DISEASE,6.185758250876328,3.6548088188049648,37
04019,RHEUMATOLOGY,6.44585777739349,3.6548088188049648,19
