ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,REQUIRED_SPECIALTY_Cardiology,REQUIRED_SPECIALTY_Endocrinology,REQUIRED_SPECIALTY_Psychiatry,REQUIRED_SPECIALTY_Pulmonary,REQUIRED_SPECIALTY_Rheumatology
0.23262169780484968,0.6175713988598247,-0.16989303429270355,0.11725663902449569,0.214544654991112,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.413409864132786,-0.18905246903872183,0.034187893932894536,0.2835032958524457,-0.48537378795007796,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.41070775759707356,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
-0.3789667788756204,-0.18905246903872183,-0.12685555963288353,-0.15749599428789715,-0.40881198117436507,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.4133923179864502,1.424195266758371,1.5849252873206026,1.9737852850878774,-0.5094903007557778,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.0958421616012325,1.424195266758371,1.8112191056932045,0.6183647955030457,-0.2742015312338742,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
0.8978838361265168,-0.18905246903872183,0.06750722915340034,-0.1138783140582381,2.4294352123434155,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.41953346920397844,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.33734731976711474,-0.18905246903872183,-0.1948825357080829,-0.3981898072037842,-0.3162981728850166,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.32439826377129805,0.6175713988598247,1.437764890096702,1.0982023359564705,-0.40454121304296387,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.03344806523114552,-0.18905246903872183,0.4395731391157152,0.08913981257832858,0.3592242384014569,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.4249025899827317,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
-0.35957828717456697,0.6175713988598247,-0.26568612305165773,-0.008128044913082727,-0.44364116785328084,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
0.015137213972670803,-0.18905246903872183,-0.668294756966103,-0.668938053288775,0.4672220188201777,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.29974592816950607,0.6175713988598247,0.4520678898234049,0.6881616954559352,-0.37714199283922556,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
-0.24300169091954507,-0.18905246903872183,0.40070058135845843,0.1323699714634002,-0.10658200628643878,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.18246748606105237,-0.18905246903872183,-0.34481954420035904,-0.528310863130763,0.027976441689215585,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.22589419824214496,0.6175713988598247,-0.5294641935473288,-0.47134522547643043,-0.2950613395740764,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.36389463917317255,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.09656155360100009,0.6175713988598247,1.1920347928454713,0.5649729658043515,-0.1513178149322578,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
0.45438744134296255,0.6175713988598247,0.3215671602097571,0.3712553514378799,0.46102062947869105,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.39961859311285114,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.1799057486960263,0.6175713988598247,-0.5627835287678346,-0.4755218444125379,-0.24394863056767202,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.3422777868874731,-0.18905246903872183,0.24382204469524357,0.32397774739822993,-0.32725786096651194,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.4200072151550449,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.3989518395520909,-0.18905246903872183,-0.5183577484738268,-0.4004288194169553,-0.4532357702306753,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
