COUNTY_FIPS,PRIMARY_SPECIALTY,avg_distance_to_provider,min_distance_to_provider,provider_count_in_county
26049,Psychiatry,2.5891368267406194,2.5891368267406194,1
26049,Pulmonary,2.9455951444176867,2.9455951444176867,1
26049,Rheumatology,2.1797368325697226,2.1797368325697226,1
26077,Psychiatry,3.494182104300704,3.494182104300704,1
26077,Pulmonary,3.493104730931785,3.493104730931785,1
26077,Rheumatology,3.493104730931785,3.493104730931785,1
26099,Psychiatry,4.312743282218339,4.312743282218339,1
26099,Pulmonary,7.252654996413168,7.252654996413168,1
26099,Rheumatology,4.377107042727781,4.377107042727781,1
26125,Psychiatry,3.864711613485622,3.864711613485622,1
26125,Pulmonary,2.5392665737523963,2.5392665737523963,1
26125,Rheumatology,5.436133838964952,5.436133838964952,1
26163,Psychiatry,3.4331783876510364,3.4331783876510364,1
26163,Pulmonary,3.754995943220087,3.754995943220087,1
26163,Rheumatology,1.8233957244278332,1.8233957244278332,1
37051,Cardiology,0.0,0.0,1
37051,Endocrinology,0.0,0.0,1
37051,Psychiatry,0.0,0.0,1
37051,Rheumatology,0.0,0.0,1
37067,Cardiology,7.191754895684598,7.191754895684598,1
37067,Endocrinology,7.191754895684598,7.191754895684598,1
37067,Psychiatry,7.189600198313865,7.189600198313865,1
37067,Rheumatology,7.191754895684598,7.191754895684598,1
37081,Cardiology,3.9855713546857072,3.9855713546857072,1
37081,Endocrinology,4.737893222131407,4.737893222131407,1
37081,Psychiatry,3.728104921271796,3.728104921271796,1
37081,Rheumatology,4.737893222131407,4.737893222131407,1
37119,Cardiology,10.713833716820117,10.713833716820117,1
37119,Endocrinology,6.399170536918285,6.399170536918285,1
37119,Psychiatry,4.054555435042771,4.054555435042771,1
37119,Rheumatology,3.222584271430548,3.222584271430548,1
37183,Cardiology,2.987587915561171,2.987587915561171,1
37183,Endocrinology,7.183973219295595,7.183973219295595,1
37183,Psychiatry,10.654691081227453,10.654691081227453,1
37183,Rheumatology,4.411935043188466,4.411935043188466,1
48029,Cardiology,5.6556631681145495,5.6556631681145495,1
48029,Endocrinology,7.315752715909874,7.315752715909874,1
48029,Pulmonary,3.0999114864595287,3.0999114864595287,1
48085,Cardiology,4.083356061173594,4.083356061173594,1
48085,Endocrinology,1.9314954446744068,1.9314954446744068,1
48085,Pulmonary,5.787154519262471,5.787154519262471,1
48113,Cardiology,2.026763488166971,2.026763488166971,1
48113,Endocrinology,2.026510554135707,2.026510554135707,1
48113,Pulmonary,2.026763488166971,2.026763488166971,1
48201,Cardiology,9.64006040849575,4.803106315329012,3
48201,Endocrinology,13.096810705077385,13.037454693854258,2
48201,Pulmonary,12.159263731710801,6.775680504849763,3
48439,Cardiology,2.776098792749671,2.776098792749671,1
48439,Endocrinology,12.484747522144907,12.484747522144907,1
48439,Pulmonary,9.788613562329203,9.788613562329203,1
